Review,Sentiment
"This device is being sold under different names in the marketplace.  I bought a version at my local Radio Shack in preparation for an upcoming road trip.  From the moment that I picked up the box I was skeptical, and as it turns out I was right.  The box was so light I thought it was empty.  When I opened it up (before leaving the store to make sure it actually contained the product!) I saw that it indeed was there, but very lightweight.  Not wanting to judge, I took it home and installed it.      The good: it installed quickly and easily on my Acura MDX.      The bad: when I put the iPad in, it was immediately obvious that the mount arm is WAY too flimsy to support the weight of an iPad. I did not encounter slipping of the ball joint (that adjusts the angle) or the mounts to the headrest - those held.  However, the whole arm is very flimsy resulting in something that almost broke just by brushing it. The pad just flops around and the arm bends and wiggles like it is going to break.   And in terms of usability, the pad bounces around on the arm so much that on anything other than smooth interstate, my son cried out \\""Please turn it off!\\"".      This went back in the box and is going back to the store.  It's not worth $15, much less what it costs.",1
It is cute,1
"It seemed like a great deal! But reality set in quick. Not the most user friendly mp3 player, doesn't have the option to lock buttons and  the mode button broke after only 1 week!!  Never again!! I'll get another Coby and pay a little more but they last A LOT longer!!",1
"Ready compatibility that lead me to believe it was compatible with my 3GS phones. The wires work with my old cube, but when plugged into these cubes, my phones (2) tell my not compatible for the device.",1
This product failed to work in my Garmin. Garmin would not boot up. The old battery is now still in use with little holding power and fortunately still works.<br /><br />This replacement fails to work. I suspect some software is detecting a non-Garmin battery and prevents it from working...that's my theory. Don't Buy.,1
"This product worked for about three minutes.  Sometimes would not turn on, and even then, only played songs one time, then stopped playing.  Also, not compatible with Rhapsody service.  I do not recommend.",1
Well i was disappointed that i waited almost a full month to find out that it was lost in the mail and it was the only item in stock so i never received it. But was fully refunded right away once discovered.,1
stopped working after one week. company refused to replace,1
"at 500watts i expected it to be average 50watts rms..it is metal ,so  looked nice..but sounds like crap... sorry but i prefer to buy, pieso tweeter  than these . it did not sound clean....i don't use them...i do use, motorola,   seleniun,and audio pipe tweeters",1
"I bought this a couple of years ago, and started off with no problem other than that the screen auto dimmer thing wasn't very effective.  Then more recently, a problem came up.  I tried to take out a CD that I had put in, and the CD player mechanism had broken.  I literally had to pry the thing open to get a CD out, then, of course, it was broken.  Thankfully the speakers were good, so I now have them on a new stereo accompanying other ones...  don't waste your money",1
"This lasted about 45 days. The MP3 player never worked well-erased songs from my player when I hooked it up. But I wasn't overly concerned because I bought to play CD's. But after about 40days it wouldn't recognize CDRs and a week or so later it stopped recognizing CDs of any kind. I contacted the seller about the dud and ofcourse got nowhere because it was past the 30 day warranty. I tried to contact the manufaturer, but it cost more to ship than the item was worth. Garbage garbage garbage!!!!!",1
"I felt deceived, I though it was an actually case for the iPod. In the titles advirtiament you should have mentioned stick on, non protective",1
"This is damaged fast but use caution you have, it's a scam",1
Extremely un-happy with these speakers i had gotten them for replacing some that blew out in my 2000 mustang. the old busted broken speakers have more bass than these. sure they're inexpensive but you get less then what you payed for.,1
The headset was damaged and would not work.<br />They appear to have been used due to eat wax located in earbuds.<br />Not a good item,1
"I was expecting a case with two pieces that snap together, like pretty much every other similar case that I've encountered. This is a piece of hard plastic that only snaps onto the back of the player -- the front screen is completely unprotected!",1
"This product title lists it as fitting a TomTom GPS with a 4.3 screen. I purchased this exact case and a TomTom GPS with a 4.3 screen, and there is no way that the GPS fits in the case. I am not happy at all with this product, it is too small!!!",1
I bought this item for my security job and it worked for the first two days then it stopped working correctly. The speaker mic can transmit to other radios but can not receive transmissions back. It is a waste of $59.00. I bought it for a motorola radius cp200 radio and it doesn't even work anymore. This is not worth the money.,1
Didn't fit right...was a waste of money...should have adked for a refund but didn't bother.,1
"So i ordered 3 chargers and surprisingly, they all dont work. It just doesn't charge the phone so its useless. Seller is running a scam and selling garbage products.",1
No instructions or info on best way to install them. Cut is rough and and messy. After clean up and some modifying they should work,1
useless as ticks fallin off a dead dog.  Have not been able to use it since I purchased it,1
"I used this watch because of the various functions. The time was not accurate, kept losing seconds and would end up being several minutes behind.<br />The tempurature seemed to be accurate most of the time.<br />The Timer and stopwatch functions worked well<br />the printing for each function wore off within 2 months of use and after 3 months the battery died or the display just went out.",1
Do not buy it!!! Does not work at all!! Called the company and got the run around for 4 weeks  before I got my refund! Aweful product and aweful company to deal with!!!,1
The quality of this product was disappointing.  The purple color began chipping off after only one day of use.,1
"unfortunately I  found myself in a position  were I needed a new security Mic for work  and figured ide give it a try due to my trust in Amazon sellers..  the sellers service was as to be expected,  unfortunately  the quality of the product was sub par.  this one did not work right out of the box.  the Mic would randomly key, ( broadcast with out button being depressed)  ear piece sounds quality  was better than expected tho...  but with a Mic that is niether  reliable our even mildly functional, I  can't recommend this product,  in fact it should be avoided if your Mic needs are even slightly important..",1
"This Ipod armband holder was very poorly made.  The \\""velcro\\"" adjustment things on the armband were simply glued on and they ripped off before I ever got a chance to use it.  My ipod didn't fit in as properly as I would have liked either.  The product is simply junk and I never once got to use it.  It came apart while simply trying to adjust it to my arm.  I guess you get what you pay for.",1
"Well, I bought this armband to replace an older one. I have hardly used it about 5 times since I bought it-I prefer my older one, thought I would start using this one everyday after it gave out. My older brand name ipod band is still in ok shape even its beginning to fray. And this brand new one piece of junk is already falling apart. Guess brand names do matter for a reason.",1
"I bought this GPS and had to return it as it does not match the dashboard of 2008 Toyota Camry.<br />They have shipped a different color than what is displayed on amazon.when I emailed simplesoft they confirmed me that the product is available in one color, which is different from the picture displayed here. Product shipped is in dark grey color. I will not match the dashboard of toyota camry.",1
"I got this thing so my wife could play it through her car system. I loaded a couple of songs on it the day I got it and it worked okay. It felt cheap and flimsy but seemed to function just fine. I had a serious health problem come up the next day and forgot about the thing for a few weeks. Yesterday I went to rip all my wife's favorite songs and put them on the player. Ten minutes into the process I start getting a &#34;card error&#34; message on the player and the thing vanishes as far as the computer is concerned. Took the memory card out cleaned the contacts and reinserted, no luck. Every once in a while if you jiggle the card in the slot it will work for a few seconds then quit again. But hey, the radio still works! Too late to send it back to Amazon and at 16 bucks I guess I'll just eat it and go on. You get what you pay for in this case. An MP3 player for 16 dollars sounds too good to be true and it is. Cheap piece of junk.",1
Unfortunately very delicate.  I'm very careful with cables because I want them to last.  I used this adapter about 6 times before it quit working.  Original iPhone 5 cable still going strong.,1
"I had this charger plugged into my car for a couple of months.  It was sporadically working. It would not work on my phone (HTC) or ipad. Only one usb side would work at a time.  It was mainly being used by the kids for their ipods and it wasn't a big deal to run out to replace it so we just lived with it.  Last week the charger started to smoke and spark in my dashboard. Luckily this happened as I was pulling into my driveway. The outlets only get power when the car is turned on, so I was able to turn the car off and run into the house to grab pliers and a screwdriver to pull the melted charger out of the outlet. I was unable to pull it out by hand because it was so small and sat so far into the outlet there was nothing to grab onto with my fingers. I would definitely not recommend this charger to anyone. It's just not worth the risk.",1
These are so poorly made! I was so excited because I saw some good reviews on these headphones. I was so disappointed! After the first week the plug started breaking. The sound quality is poor. I bought them for the mic but when I actually use it for a phone call the person I'm talking to can barely hear me over the background noise. I don't even want to write about these because it's making me mad all over again! Save your money and try something else!,1
"I ordered the 9ft Lightning Cable. I will say it is nice to have a long cable, but the cable is now as useful as a jump rope when it comes to charging my phone. I plugged it in an charged my phone one night and it worked perfectly. The next day I plugged my phone in and nothing happened, I took the cable out of the charger and plugged it into my PC and still nothing, so I disconnected the cable from my phone. As soon as I disconnected the cable the connector felt loose. The cable then proceeded to separate from the Lightning connector. I uploaded a picture to the customer images. On a side note, this cable is also much stiffer than the OEM cable. I was able to return, but would not recommend this cable.",1
it says on the box and a employee from barns and noble informed me DO NOT put a screen protector on the nook simple touch glowlight because it comes with a preinstalled one from the factory. it can ruin the screen. i'de probobly take this item out of your for sale inventory.,1
Don't bother buying. I have a 3rd generation ipod touch and the charger won't charge it. It says its not compatible.,1
mine is set up in Ukrainian. the user manual tells you there are 12 languages but not how to change them  the company tells you to check the user manual. I guess I need to hire a Ukrainian to drive around with me to read it.,1
It definitely looks like a lot of stuff for 9.99 + shipping. The problem is that it does not work well when you try and press the butttons on the Creative Zen Vision M. Because the silicon case is so tight around the zen you can press the button but it does not allow the click to release and you have to loosen the case before the click releases. I just received this yesterday so I dont know if the case will loosen a little in the long run but for now I definitely do not recommend this.,1
"These were really cute. I thought they would be a super gift for my 3 year old granddaughter. BUT, they were way to complicated for her to use My grown daughters and 11yr old grandson had trouble using them also.",1
Did not function properly.  Use to own a unit by the saem maufacturesr was wonderful.  I really don't understand why this unit did not work?,1
"Okay, I don't  have this mp3 player, but just think about it. It holds maybe fifteen songs. A 512mb iPod shuffle holds 120 songs, so if you divide 512 by 8 you get 64 and if you divide 120 by 8 you get fifteen! It's almost funny... fifteen songs",1
"The video quality makes this camera worthless.  When it  being charged the very small incomplete pamphlet of instructions states it is supposed to show a charging icon.  Instead there is another screen at startup which covers over the charging icon.  This is a built in defect.  I attempted numerous times to get the icon to appear including using the factory reset icon.  The battery rapidly discharges, with short battery life.  There was a bubble wrap on top, that had been opened and just laying there, without any thing in it, which indicates it had already been opened and returned.  Trying to return it essentially has a response from  Anleo, which is supposed to be the company selling it, that they will do all they can to help, by contacting another company.  It is no less than Chinese double talk in broken English, stating someday a refund will be given after sending it back, after they do all they can to help.  It is no less than a refusal to give a refund within Amazon's stated refund policy.  I have contacted Amazon and filed a complaint which is pending.  This is more than buyer beware.  I found the video car cam totally worthless in all aspects.  And as far as the seller it is a company located, it appears to be in China, that pretends to make refunds.  I have spoken many times of Amazon's  customer service as excellent.  I am in hopes this seller is removed from Amazon.com .  They are making Amazon.com look bad and in addition they are selling a worthless product and NOT abiding by Amazon's return policy.",1
"I bought this recently and then exchanged it for another. Neither worked properly. Both units failed to record actual mileage. I have a standard 3 mile running route. I set up each unit as detailed in the instructions, and both times the mileage at the end of my run was off - by 1.5 miles with the first unit and 2.1 miles with the second. When I tried to calibrate by linking to my computer, the software said my runs were just 'walks' and that the discrepancy was outside the margin of error. So unreturned both units un favor of a Garmin GPS watch (Forerunner 110) that works perfectly with a lot less fuss and no shoe sensor required.",1
"I really like this product.Seller was great an dthe shipping was fast. The speakers'sound are great. The main reason to buy this product is take it with us on camping. However, the specifications says that it charges Ipods. We have an Ipod Classic and Ipod touch and it does not charge any of them even when playing. I called the company twice, but the service is terrible. No one answered. If anyone knows how it does charge Ipod I will appeciate the instructions because I can't find them even online. Thanks.",1
it was dead on arrival,1
The setup is a pain. The instructions were not clear.<br />The product is extremely buggy and the car charger didnt work,1
very sporadic if it works or not. some times the bars go up but its normally short lived. still have issues with calls dropping.,1
"I used this item for the third time today.  It will no longer charge my phone.  I get the message on the phone that this device is not consistently compatible with the phone.  I can still play music through my vehicle's system, but when using the phone's gps app and the music app the battery drains quickly.  This thing is basically useless without its charging ability.  And now it is too late to get a refund.",1
I bought three new SanDisk players in the last six years.<br />All went to hell after two years.<br />Never again a SanDisk player!,1
"I ordered my lasonic i931x about two weeks ago, I received it today and it doesnt work! Read the instructions over and over again and no trouble shooting or anything. Or at least any that helps. I plugged it into many working electrical sockets and no juice it just doesn't work at all. Won't turn on, nothing. Even the av/out slot in the back isn't even a hoe or plug it just is printed in the plastic w no hook ups at all. Did I buy a display shell or something? Wtf!",1
"This is my review on the Pioneer AVH-P8400. Unfortunately, this is not really a positive purchase. I can honestly say I am pretty disappointed in Pioneer and this head unit. I am hoping Pioneer gets these issues straightened out and fixed with a firmware update.<br /><br />First, the positive:<br />-This unit really sounded much better than my previous Pioneer Premier F90BT. There was a notable clarity once I switched to it.<br />-I can connect two ipods to it rather than just one.<br />-The G.U.I. was also very appealing.<br />-Not having a bunch of harnesses in the back of the unit was also a plus and made installation a lot easier.<br />-Most of the issues with the head unit appear to be software based, and hopefully will be fixed soon<br />-The screen has a very vivid and clear resolution. It is definitely one of the nicer screens I have seen.<br />-Very quick load up time. Unit is ready to go in seconds from turning the car on.<br /><br />The Negative:<br />-The screen goes dead and does not respond to any touches intermittently.  Considering so many features are controlled by touching the screen, this is a bad deal.<br />-If you're using an iphone, the iphone alert sound effects come though when listening to Pandora or the ipod feature from the iphone.  Im not sure if it's a head unit issue or a iphone issue, but when driving to music this is annoying.<br />-The GPS apps are garbage. PERIOD.<br />-If you connect the iphone before the Bluetooth connects, it causes all sorts of problems. The Pandora feature does not work, you have to use AppRadio in order to hear Pandora, but AppRadio will also not function properly. If you turn off your car for any reason, you have to disconnect the iphone when you restart it, if the Bluetooth connects while the iphone is already connected to the head unit, then you will have the above mentioned problems.<br />-The CD-IU201S Cable is ridiculously too short. The part of the cable that connects to the iphone is sadly only 2 feetlong, which means you have to mount the iphone very close to the unit. I bought an Iphone extension and it caused AppRadio to no longer function. Ridiculous.<br />-My ipod locks up at least 6-10 times a week with this head unit. When I check the ipod after i have disconnected it, it still has the pioneer logo on it and in order for it to get working again i have to do a restart.<br />-This unit produces an insane amount of noise (hissing). Its audible when listening to music or if the unit is on with nothing selected as a source.<br /><br />ALSO!!! Pioneer is aware of the issues with this unit, but has no intention of releasing a firmware update to fix it. Basically, you are on your own. This unit will not be brought to a better standard and it is what it is, unlike the pioneer units in the past which recieved firmware updates to fix problems and issues.<br /><br />Im really saddened by this unit. I have been a loyal pioneer customer for many years. I have gone through 8 Units and this is terrible. I wanted to replace my F90BT with something newer and faster, with a more precise GPS. I originally was considering the AVIC-Z140BH, but I really didn't like that I would have to disconnect my ipod and connect my iphone to use certain features. I am accustomed to connecting my ipod, which has all my music on it, to the head unit and putting it in the glove box and not messing with it anymore. I was hoping for the same with the iphone apps but this is not the car. You have to use the iphone itself to control the iphone apps, with the exception of Pandora. This is dangerous as you have to keep taking your eyes off the road to do this, not to mention the clumsy short cable causing problems with reach.<br /><br />I will say that as just a head unit its great. the major downside to it is the iphone/ipod controls in appmode. also the whole having to wait till bluetooth connects is also annoying. if you do it wrong you have to turn off the car and try again.<br /><br />UPDATE -I am no longer able to find much positive in this purchase. Last night while driving the unit began having volume issues when connected to an iPhone. It also had issues with the iPhone playing music OVER the ipod that was selected. Even after pressing mute the issue was not resolved, as the music continued to play blaring. I am no longer partially satisfied with my purchase and am now considering purchasing another one and getting rid of this one. It has not been helpful.",1
"After receiving this item and having them cut to my vehicle, I took them to my Volvo dealer and he was unable to program them.  I have now purchased new fobs from the dealer and will have them programmed today. Not a success.  I would caution anyone about using OEM fobs - make sure your Volvo dealer is able to program them!",1
This camera kit doesn't deserve one star. I received the package with a part missing. I contacted the seller and got the missing part by mail. After one month of use in my car the camera stopped working for no apparent or fixable reason (it's still broken). The unit got mixed reviews (practically all bad) at the time I decided to buy. I should have listened. The old adage that you get what you pay for applies here.,1
"I received a unauthentic item from seller Bokit. It is unfortunately one of the many &#34;fake&#34; versions of this popular camera. It comes with the inferior Novatek NT96220FG chip instead of the actual chip advertised in the item page. This chip is of much lesser quality. It is easy to spot a fake version of this item simply by recording a short video clip and seeing in what format the camera saves it as. If it is .MOV it is authentic, if it is .AVI it is a fake item. I received one with the latter. You can also check the specs of the video file with any simple video editing program to see that the quality of the video is less and not the specs of an original version of this item.<br /><br />My item came in a orange box which I read has already been reported by many others on forums such as Dashcamtalk forums as being the ones carrying some fake units. Amazon needs to try a little harder to verify the integrity of it's sellers and not just let anyone sell whatever they wish from grandma's basement. Sellers, it is your responsibility to check each item and insure they are authentic. Now I have to waste my time and money driving to UPS to return this and try my luck at another seller.",1
I purchased this mount for my motorcycle and was quite disappointed. I mounted the bracket on the handlebar and attached my TomTom One XL to it. I discovered that the ball socket on the mount pops out easily. I was glad I did not get on the road with it because the GPS would surely have come off the bike with the slightest bump in the road and I would have had my GPS dangling by its power cord at best. Its inexpensive for a reason.,1
Upon receiving this item I plugged my phone in to charge it. After a few seconds and no charge a little message came across the screen stating that this cable or accessory is not certified and may not work reliably with this IPhone. It has yet to be able to charge my phone.<br /><br />I DO NOT RECOMMEND BUYING THIS ITEM,1
"Matt Geyster and his BaseOne Labs owes over $24,000.00 in refunds to people who purchased product from him;<br />product he created a fake video and fake proto-type to use in promotion;<br />product he repeatedly promised to deliver;<br />product he then, finally, admitted, never existed and never would exist because he didn't know how to manufacture it;<br />refunds he promised to deliver, but months and months and months and months later, still has not...and outright refuses to respons to those to whom he owes money, or product.<br /><br />If you were to purchase any product from this guy or his company, you can count on never receiving any support, nor any response to problems with poor quality or missing shipments.<br /><br />Don't believe how products are described in their sales materials, nor any claims they make about performance of said products.<br />They have amply demonstrated their incompetence in managing the manufacture of a product of any redeeming use or value,<br />as well as deliberately lied to an entire group of customers. And then lied again. And then lied about having lied.<br />And them promised to make good on their having lied. Which, of course, was another lie.<br /><br />If you give them money for a product, don't expect them to be in a position to honor any warrantees, returns, or product support.<br />Your money, once given to Matt Geyster and BaseOne Labs is gone, baby, gone.",1
Junk does not charge nothing .,1
"Whenever I try to use this product, I get complaints from the people I call due to excessive interference.  While the call quality is acceptable on my end, it is bad enough people tell me not to use it or they will hang up.",1
"My measurements of the ratings throughout the day compare with my 20A PWM (older technology) regulator shows that the MPPT unit is probably fake. MPPT is supposed to up the amps when it down the volts to match 12V (or 24V) battery, but the amps were not up at all. This means the wattage from panels is lost as it goes through this MPPT regulator, no good. The MPPT function instead of flutuating the power parameters to get maximum power was instead kept constant.",1
"If you haven't bought this product yet, don't.  After all the anticipation of finally getting a Kindle Fire (my first Kindle), I wanted to be certain to take good care of it, preordering this product so that I could start off on the right foot.  What a failure this product is.  I'm not even sure I'll get a chance to see whether it reduces glare or not, as I am currently distracted by the bubbles, making the screen appear as though it is underwater.  I have applied similar screens before successfully, so while I know some bubbling can certainly occur, it is usually worked out with a smooth tool of some sort.  Not with this product.  Oh, and to make matters worse, the sticker indicating \\""front\\"" left a gummy residue when it was removed.  Wish I could like it even a little.  I can't.",1
"I only gave a one star rating because I didn't get this for myself, so a product rating wouldn't apply since I'm not the one using it. However, the leather seemed of good quality. The person I got it for said it fit the Nook Color perfectly. That's all I know.",1
Since one of them was inoperable upon receiving them I don't know if the other one actually works. There were no operating instructions with them. My 5 year old granddaughter was very disappointed. It's not the suppliers fault but the manufacturer. As a retailer I wouldn't sell these terrible excuses for walkie talkies.,1
"The device itself works great. You can reproduce any format you can imagine. However the remote control has serious problems. Sometimes responds and must of the times it does not respond. The RC has many functions that are difficult to do manually on the device, so without the RC you can experience serious limitations. I wanted to use a universal remote control however I could find any code for the micca remote control.",1
"Do NOT buy this product based on the product description.  I did, but the advertised USB Cable was not included.  On my complaint, Amazon quickly sent another Power Adapter, but again without the USB cable.  I'm now in the process of having to return both Power Adapters and have bought another adapter, which included the USB cable, from another company outside of Amazon.",1
Nobody buy this please terrible I dont recomend,1
These worked great on several different iPhone6s for a week or two and then stopped working. There was no damage to either cable.  I cannot recommend these cables.,1
"This is a generic cable, not an Apple product.  I ordered two.  Neither work.  I got a refund.",1
Don't get it....tried to use it but does not fit with the case on.  The adapter is too thick and will not connect.,1
"First of all, I got this because of it's supposed ability to calculate traffic into it's \\""quickest time\\"" routes.  I don't know where it gets its information from, but it usually sends me straight to the most congested road.  I have to constantly use my own knowledge of routes through the city and the \\""avoid road\\"" feature to make it give me an efficient route.  Oh, and by the way, I don't know what that other user was talking about saying that it recalculates your route immediately...if I make a wrong turn or intentionally avoid a road it's telling me to turn on, it tells me to U-turn for so long it misses the next USEFUL turn!<br /><br />Second of all, it takes FOREVER to find a GPS signal.  When you first turn it on, or if it's cloudy, or god forbid in an area with many streets close together, it can't find you or plots you wayyy off the road.  I sometimes drive halfway across town (which is Atlanta by the way, so we're talking a substantial amount of time) without a signal.  If I didn't already know where I was going, I'd be sitting on the side of the road so long I would be incredibly late.<br /><br />Third of all, this broke within a week of me getting it...unfortunately I was literally in the middle of nowhere, a rural county in GA with a population less than 100, when it suddenly stopped tracking me, then wouldn't even get past the welcome screen (even after repeated resets and off/on reboots, etc).  Luckily I had a handheld GPS with me which helped me find my way out or I might still be in the woods.  Still though, I had to wait several weeks to send this back and get it fixed.<br /><br />My dad's Garmin was half the price and works twice as well.  All in all, this thing is a piece of junk!  Don't get one!",1
"I used it two times and now it don't even work. The red light comes on to charge but it never turns on afterwards.. nor will it connect to my Bluetooth, no matter what I have done. :(",1
"When I ordered this gps, it said it was new. What I got was a refurbished unit. I didn't even open the package. I contacted Amazon and they were great in helping me thru the process of returning and refunding me.  Unfortunately there were no new units and I had to reorder it thru the Amazon store. Received that package with no issues. Funny though I noticed that this site still says they have new.",1
"The pin is very big and very hard to be inserted into the car charging plug. My fried inserted this into him car charger, first of all it took dew attempt to get it in and once he got and tried to take it out, the whole setup(part of the dashboard) around the plug came along with it.",1
"Shipped very quickly, but with no instructions.  My husband researched on YouTube and spent hours trying to fix Ipod Touch.  Terrible product; impossible to use.",1
"I have been trying to send this back, no one will talk to me, it is to small for my ebook....help",1
I did the water test and after 1 min It had a slow leak I am very disappointed that they don't test the case first and no returning it. I spent 16 dollars and am very unpleased.,1
WOuld love to review but Ships from Hong Kong NEVER delivered it!!!  WARNING!!!  Don't recommend ordering from outside the country b/c you may not receive the wall charger/cable/product that you ordered.  Inexpensive but not worth it as never received product!,1
Stuck on black and white won't show color,1
"I purchased this item to plug into my iPhone (3.5mm jack) and connect it to the stereo in my car (USB).  However, the USB on both cords did not fit into the USB socket in my car.  It seemed as if they were both slightly small or something was barely blocking them from plugging in all the way.  I was highly disappointed and wished they worked.",1
"It broke within 20 seconds of removing it from the package, the materials were extremely cheap, and the picture doesn't show the actual product. The product actually is set up so that the bands go from the sides of the ipod, making it...not face the way that a watch would... Overall, awful product. Would give it 0 stars if possible.",1
Not good,1
"I ordered a unit described as WIRELESS. The unit I received is not wireless, It requires running wire from the camera at the back of the vehicle to the monitor on the dashboard. Unless you like fishing wires through vehicles do not order this unit.",1
Very poor quality product and difficult to use. Not worth the $20 or any amount of money.,1
"Does a good job of protecting my Kindle Paperwhite (didn't experience any of the discoloration others were talking about), but smells TERRIBLE. The awful artificial scent has transferred to my device - not sure if it will ever be gone.",1
"I bought this item at the end of December.  It worked great for awhile.  Then the clip started wearing out.  Here I am, just 4 short months later and my Ipod falls off constantly during my workout.  If I bend over, it falls off.  If I turn too fast, it falls off.  If it finds out gravity is working, it falls off.  Good think it was cheap!  Then I don't feel like I wasted a bunch of money on it.  I would say you get what you pay for, but it that was true, this would be overpriced.  I'm ordering something else.",1
DO NOT BUY the charging cable does not work and light indicating charging never lights up i am going to return it as soon as possible just do not buy it it is a waste of money and time,1
I bought this due to the stock antenna cable being chewed in half by a rodent in my Camaro. It's a pain to remove the stock antenna as the fender has to be partly un bolted for access. I installed this on the windshield like the instructions tell you to do and it doesn't work any better than no antenna. The antenna started to separate itself from the adhesive tape on the windshield after 2 months. I removed it rather than let it hang there half attached. The adhesive is extremely adhered and is a pain to remove so it will remain until I replace the windshield later on. Don't waste your time or money.,1
This cable is advertised to work only with the latest generation iPod products. Wrong! The connector does not even fit my iPod Touch 4th generation.,1
"The 1 star is for the price. Someone should get w/Amazon and straighten that out. I mean, the MSRP on Lisle Corp's website is $10.40. I plan on buying a couple, but, certainly not from you!",1
"The iHome company produced some of the best user interface design but the worst quality control products and customer service I have ever encountered.<br /><br />The latest purchase of iHome iA91 model at end of August came and performed as expected with my iPhone 4S. However, merely after 1 month, one of the speakers failed to produce sound, even when using FM radio or any auxiliary input device. This is really below par quality assurance process with iHome.<br /><br />The worse is their handing of customer service. I left an email on their web site but received no response after two weeks. On their website they mentioned their 'huge email volume' - i.e., lots of customer complaints?, and asked customer contacting tech support to use their toll free number instead. I called several times and every time the phone rang for more than two minutes without any response. iHome does not even have the courtesy of installing the (annoying) automated answering system.<br /><br />Design is not everything, for the premium price you are selling for a cooler boombox, there are many other things you have to do MUCH better, iHome.",1
"I wanted a device that can record data on a SD-card the whole day and in this way a whole holiday. I want to switch it on in the morning and make a tour without caring about it.<br /><br />But this device stops recording after some time. On the first trip after 5 hours showing me a SD-card symbol on display - of course card is inside! Second trip display shows me normal logging operation, but file contains only 2 hours :-(",1
got this for my granddaughter and the little beads were coming off,1
I hated it it doesnt work on my iPod I wish I didn't buy it ugggggh...... It's so stupid!! I recommend everybody to not buy it cuz it doesn't work.,1
One month using and all the cables don´t wor anylonger.<br /><br />When you switch to the iphone 5s there comes a message<br /><br />&#34;THIS CABLE OR ACCESSORY IS NOT CERTIFIED AND MAY NOT WORK WITH THIS IPHONE&#34;<br /><br />Checking the website I see you don´t even have it in stock any longer. Is it because it doesn`t work? As a very confident Amazon client I wish I coul have my money back anyway.<br /><br />Hated it and I´m very upset because I bought 2 packs and now I have 4 cables not working. Never more! Next time I´ll drive directly for an Apple Store.<br />Thank you for giving the opportunity to review the item.<br />Your sincerely.,1
"I don't usually send things back, but had to on this one. I couldn't get it to work, plus the buttons were so small I couldn't manage them with my my moderately long fingernails.",1
This product is alway freezing up and the only thing that will play at time is the CD player when you insert the disc.  music always pause(skip) between track so you can't enjoy your music to the fullest.  lastly this product over heats.  Dont waste your money on this crap,1
"Dont buy it<br />Its very bad do not buy it ,<br />it dose not work useless ,unworkable , dumb,<br />i dont recommend this item",1
"I bought this for ebooks.  The device does not support WMA files as advertised.  The device does not 'bookmark' place, have to scroll through the complete menu to get there.  Very disappointed.",1
"I bought four of these cables to have around the house. Less than a month after purchase, two of four have stopped working. They were not under heavy stress, just sitting on my bedside table and in my office. They worked initially; then for a time, I would plug them into my iPhone but the phone wouldn't always charge. Moving the phone a tiny bit one way or another would either connect or disconnect the charge, pretty annoying. Then they just stopped working, or only charging &#60;15% of the time.",1
Shipping was fast but when I took item out of package I noticed two connector pins melted and one screw missing! Also it has the white computer board in it..,1
"I ordered this case for my sony prs-t3, but by putting it in and taking it out of the case ones, my screen of my e-reader broke, so i would not recommend this case for your ereader.<br />Also the front part doesnt stay closed so if you'll carry it in your bag it wil still open up and damage your screen anyways.<br />If you still want one, you can have mine, cause my ereader is now broken and un-usable anyways.",1
